output_0,output_1,output_2,output_3,output_4
1.9411861,1.952762,1.8314552,1.8188457,1.7000444
4.838434,5.3074713,4.805215,4.883107,5.135141
2.074405,2.216624,2.4196873,2.4134343,2.0771315
4.85186,4.989815,4.7072353,5.084069,4.9904075
2.498169,2.831609,2.431076,2.3075166,2.4034636
6.6448555,6.488711,6.604883,6.50663,6.3102436
5.096743,4.6861906,5.284228,5.2987347,4.9379826
4.969179,4.941426,5.0667086,5.004459,4.962347
4.6992664,5.064595,4.7934704,4.888725,5.1020746
5.815443,5.048769,5.593527,5.7521963,5.638162
7.9466763,7.5411515,7.726576,7.0994024,7.5538726
8.08214,5.68323,8.086206,5.495888,5.4072533
3.254501,3.1479635,2.7434301,2.5278673,3.2389145
4.626897,5.128851,5.315182,4.9944797,4.743569
6.174605,6.1009855,6.345518,6.056158,6.3015394
4.63054,5.3172812,4.9810753,5.311295,4.9044294
3.2610328,3.2255845,3.2390602,3.1253953,3.3297088
2.0754278,2.8282528,1.928476,2.8002973,1.9925019
5.130184,5.2895117,4.965623,5.188823,5.104427
4.386687,4.249158,4.3936915,3.9733713,3.9280882
5.1967797,5.169832,5.216165,5.0679994,5.3995085
5.440319,5.615298,5.5092487,5.037094,5.104278
2.205327,3.406763,2.112332,2.271481,3.180403
4.664684,4.033428,4.446955,3.2478201,5.2599726
5.0660324,4.955818,5.200055,4.972148,5.0171475
6.430808,5.9570932,5.9432,6.206383,6.1911044
2.2667162,1.304968,2.4749346,2.0415547,2.3928697
6.3114657,6.536069,6.4906206,7.378997,6.43384
6.5116177,4.3340445,4.3118854,4.3820724,4.323196
6.064201,4.442289,3.712654,5.351848,3.9867256
6.604372,6.552643,6.5329237,6.6292305,6.624057
6.1843834,6.526302,6.3931704,6.225767,6.428133
5.2421026,5.269719,5.1729097,5.2727623,5.056222
2.7902272,2.47665,2.7042263,2.7463133,2.7627633
5.252205,4.366767,2.9509425,4.6205206,4.358409
5.005329,5.193426,4.9095697,4.986373,4.931183
3.115032,1.761958,2.3774478,2.5340636,3.0226686
1.4895631,1.3261714,2.4267385,2.272412,1.5259254
1.3792217,1.4301658,1.2707169,1.4573753,1.328834
3.6229124,3.631085,3.8060741,3.5188498,5.4562845
7.292053,7.7025213,7.0343885,6.686504,7.269139
6.3497925,5.444084,4.8344274,4.695282,4.767866
6.9333673,5.7059045,6.1001244,4.694794,5.5455055
5.004261,5.0794277,5.1105757,5.1806626,5.195549
2.8106735,2.9846296,2.9668639,2.9550526,3.2205157
5.303283,5.369768,5.2952685,5.3729935,5.2403345
4.541198,2.1634305,2.4489987,2.3322384,2.0294163
2.4949758,2.497598,2.6969326,2.668063,2.6593778
5.09658,4.9541903,5.230057,4.7819624,5.2490935
4.7205,4.3068204,4.5283084,4.342872,4.323065
3.1514173,2.9952614,2.8678176,3.0318675,3.1952934
4.7346554,5.1758113,4.8117566,4.7918844,4.9527745
4.704045,7.095967,5.016498,5.1676993,4.5173154
5.3710213,4.9621744,5.209862,5.2302523,5.2909365
5.1868258,4.8949566,4.999297,4.957451,4.8504524
3.5317006,3.7104928,3.6170616,1.8536543,2.4324923
4.7910347,4.528923,4.7925835,4.5242057,5.04977
7.122303,7.1656322,7.120132,6.3114705,8.458044
2.6460829,2.5688646,2.5227294,2.6627247,2.8476143
2.3836734,1.3479253,2.754271,1.2270402,1.24603
2.1040735,2.0336196,1.9648851,2.0247364,2.0379593
7.1960907,7.451019,6.9987354,7.217248,7.4223413
2.7126667,2.4734704,2.010911,1.9259287,2.1241612
1.2264527,1.3057789,2.6861334,1.259219,2.2788422
2.1905582,1.7515253,1.7434173,2.9608204,2.8982852
2.454568,1.3930855,1.2953489,2.429775,2.5207455
2.1166198,2.0218565,2.5979445,2.3708272,1.9733508
4.6715856,4.949807,4.7511005,4.885767,4.874792
2.793569,1.4940052,1.5581119,1.7211902,1.6247218
3.295142,3.326924,3.762923,7.208682,3.1688468
2.3250172,2.3177533,2.4999018,2.4273305,2.2906432
8.818742,8.740627,7.56557,7.704362,6.9686966
1.9992454,2.6388335,2.0135047,2.5531757,1.8278767
6.223115,6.1642833,6.2468653,6.212536,6.244445
3.5638185,3.4682426,3.6212325,3.5907242,3.5602791
2.5101852,2.517143,1.4508023,1.6177098,1.5316247
3.132621,7.2926874,3.68489,3.3849037,3.4163704
1.3640006,1.3930185,1.2950242,1.3582366,1.3136164
1.6422296,2.330444,1.1988323,1.427177,2.282797
7.235682,6.8387756,6.7781906,6.9589753,7.5921254
3.223809,7.5583158,7.459929,7.345478,3.3527224
7.1421022,7.953713,7.686321,7.4659615,7.8926477
3.1788948,3.642357,3.9881737,3.146579,4.4015694
7.2841024,7.905564,7.216234,7.9522896,7.7610273
