output_0,output_1,output_2,output_3,output_4
4.3289475,3.9481575,6.2922797,4.0784297,4.396731
1.614992,1.6622782,3.8092008,3.6572778,3.6087263
3.34072,2.9065266,3.6423252,3.4167235,3.2268703
6.366473,6.4725933,6.7223377,6.335638,6.5103817
7.092322,7.0254965,7.6180553,7.1618404,7.61868
2.899594,2.8001847,2.7716537,2.472313,3.0124335
1.9433514,2.2660496,2.2570603,4.143548,2.614664
5.0073676,4.8982134,4.943205,5.201194,5.230487
4.180956,3.8180017,4.138949,3.6052582,4.025716
5.5004573,5.4670105,3.796213,2.167543,5.4757915
1.7002598,1.899589,1.9659034,1.8715445,1.8449055
7.7370253,7.466359,7.2709265,7.516034,7.8509555
5.413887,5.582057,5.5161667,5.50286,5.2387953
7.5695186,7.6920834,7.4777045,8.210154,7.2096434
3.9318855,3.986342,4.077344,3.9673667,7.2122927
6.659611,3.5320342,6.5812697,6.3501167,6.2846236
4.5691032,4.6384087,4.437208,4.876913,4.8636446
3.0538356,1.55149,2.9575732,1.6650814,1.8377584
2.366659,5.7550964,2.4713056,5.8477516,2.3280296
3.5637472,3.8376741,3.8725524,4.022664,3.7868347
3.4175675,3.3107104,3.1387482,3.0943043,3.2339516
4.339516,6.4630227,4.317844,6.6873527,4.5628247
4.140824,1.505858,4.0831203,4.2631965,4.17101
2.7159812,5.420596,5.198281,5.29785,5.237304
4.3768106,2.472442,4.871751,4.9404035,2.505364
3.3391469,3.365164,3.1671984,5.0642495,3.2873282
6.54046,6.5382133,3.6329753,6.4985228,3.2842302
3.9323184,4.9142222,2.8050551,4.171115,4.6525855
6.2740107,2.490754,2.6575792,2.636481,2.6271558
5.837658,5.3061185,4.582827,5.192501,4.8856077
6.432505,5.431656,5.8010345,6.4255986,7.209362
2.1331885,2.224214,2.1309125,2.7746062,2.1343956
5.2050905,5.251881,5.132064,5.1945744,5.335933
3.080193,3.2439785,2.8913736,2.8827715,2.9816542
1.5598907,1.6309303,1.6001661,1.4178928,1.4198496
4.1809354,4.3197274,4.5065403,4.301448,4.3013935
2.4569805,2.3333366,2.3397832,2.397447,2.4372926
2.3716729,2.9269483,2.5158978,3.1854484,2.3809838
8.559827,8.38298,8.749196,8.6772585,7.9658127
2.491204,2.4212666,2.7266018,2.313903,2.3796957
7.392041,7.370494,7.0518436,7.5840006,7.2204905
5.477664,5.492547,5.548424,5.4807568,5.2999806
6.122231,6.650763,7.6276526,6.200445,7.685323
5.6740093,5.768996,5.810009,5.5613446,5.541046
4.9878445,4.8713164,5.1885467,7.8451514,4.9849696
1.9858605,1.9139949,2.0253687,1.7124258,2.3168344
